iter	Passed	Remaining
0	1	1088
1	1	921
2	2	836
3	3	808
4	4	803
5	5	830
6	6	933
7	7	920
8	8	904
9	8	884
10	9	879
11	10	867
12	11	851
13	11	837
14	13	857
15	13	855
16	14	865
17	15	865
18	16	870
19	17	860
20	18	851
21	19	847
22	19	841
23	20	835
24	21	828
25	21	820
26	22	814
27	23	809
28	24	810
29	25	815
30	26	818
31	27	819
32	27	814
33	28	811
34	29	807
35	29	800
36	30	793
37	31	788
38	31	785
39	32	784
40	33	786
41	34	791
42	35	795
43	36	795
44	37	792
45	38	788
46	38	785
47	39	781
48	40	777
49	40	775
50	41	772
51	42	769
52	42	766
53	43	767
54	44	770
55	45	772
56	46	771
57	47	771
58	48	772
59	49	771
60	49	768
61	50	767
62	51	764
63	52	761
64	52	761
65	53	762
66	54	764
67	55	764
68	56	762
69	57	759
70	57	756
71	58	752
72	58	748
73	59	746
74	60	742
75	60	740
76	61	737
77	62	734
78	62	733
79	63	731
80	64	731
81	65	732
82	65	728
83	66	726
84	67	724
85	68	723
86	68	723
87	69	721
88	70	719
89	70	716
90	71	714
91	72	712
92	73	712
93	73	712
94	75	715
95	75	713
96	76	711
97	76	708
98	77	705
99	78	702
100	78	700
101	79	697
102	79	694
103	80	692
104	80	690
105	81	687
106	82	685
107	83	689
108	84	691
109	85	690
110	86	689
111	86	687
112	87	685
113	87	683
114	88	680
115	89	678
116	89	675
117	90	673
118	90	670
119	91	668
120	91	666
121	92	663
122	93	663
123	93	664
124	95	665
125	95	665
126	96	663
127	97	661
128	97	659
129	98	657
130	98	655
131	99	653
132	100	652
133	100	649
134	101	648
135	101	646
136	102	645
137	103	644
138	104	644
139	105	645
140	105	644
141	106	642
142	107	641
143	107	640
144	108	639
145	109	639
146	110	638
147	110	637
148	111	636
149	112	635
150	112	633
151	113	634
152	114	634
153	115	635
154	116	634
155	117	634
156	117	633
157	118	631
158	119	630
159	119	628
160	120	625
161	120	623
162	121	621
163	121	620
164	122	619
165	123	619
166	124	619
167	124	618
168	125	617
169	126	617
170	127	616
171	127	615
172	128	613
173	128	612
174	129	610
175	130	609
176	130	607
177	131	605
178	131	604
179	132	602
180	133	602
181	134	603
182	135	603
183	135	602
184	136	602
185	137	602
186	138	602
187	139	601
188	139	600
189	140	598
190	141	597
191	141	596
192	142	594
193	142	594
194	143	594
195	144	593
196	145	593
197	146	592
198	146	591
199	147	590
200	148	589
201	148	587
202	149	586
203	149	585
204	150	583
205	151	582
206	151	580
207	152	579
208	153	579
209	153	578
210	154	578
211	155	577
212	156	577
213	156	576
214	157	574
215	158	573
216	158	572
217	159	570
